MessageProcessed,Tags
"eu não tenho o dia inteiro , tenho uma monografia pra escrever",PRON ADV VERB ART SUBS ADJ PON VERB ART SUBS PREP VERB
"olá , jefferson , bom dia !",INT PON SUBS PON ADJ SUBS PON
estou tentando acessar a safrapay empresa,VERB VERB VERB ART SUBS SUBS
está chovendo por ai ?,VERB VERB PREP INT PON
porque não estou utilizando mais,CONJ ADV VERB VERB ADV
pretendo alugar um carro no final de dezembro,VERB SUBS ART SUBS PREP ADJ PREP SUBS
tenho o número do documento NUMBER,VERB ART SUBS PREP SUBS NUM
não estou conseguindo me escreve no vestibular,ADV VERB VERB PRON VERB PREP SUBS
meu . nome . e amanda,PRON PON SUBS PON CONJ SUBS
coloquei o código e deu invalido,VERB ART SUBS CONJ VERB ADJ
eu fiz um pagamento ontem e não está na minha conta,PRON VERB ART SUBS ADV CONJ ADV VERB PREP PRON VERB
"não , vou escrever o documento mas deveria ter mencionado no contato telefônico",ADV PON VERB VERB ART SUBS CONJ VERB VERB ADJ PREP SUBS ADJ
a corretora da qualicorp .,ART SUBS PREP SUBS PON
teria algum número fixo ?,VERB PRON SUBS ADJ PON
infelizmente não consegue falar com ninguém,ADV ADV VERB VERB PREP PRON
essa caixa postal e do correio !,PRON SUBS ADJ CONJ PREP SUBS PON
meu número não é esse PHONE,PRON SUBS ADV VERB PRON SUBS
bom . dia estou precisando da minha fatura,ADJ PON SUBS VERB VERB PREP PRON SUBS
é possível fazer com vocês o refinanciamento,VERB ADJ VERB PREP PRON ART SUBS
na recebo na hora também,PREP VERB PREP SUBS ADV
qual seria a restricao ?,INT VERB ART SUBS PON
bom dia ! gostaria de receber o código de barras da fatura .,ADJ SUBS PON VERB PREP VERB ART SUBS PREP SUBS PREP SUBS PON
gostaria de rastrear o meu pedido CODE,VERB PREP VERB ART PRON SUBS SUBS
mais me deu opção de empréstimo,ADV PRON VERB SUBS PREP SUBS
já está concluído esse procedimento ?,ADV VERB ADJ PRON SUBS PON
esqueci minha senha do aplicativo rio card mas,VERB PRON SUBS PREP SUBS SUBS SUBS CONJ
posso utilizar o chip novo ?,VERB VERB ART SUBS ADJ PON
será de DATE a DATE,VERB PREP SUBS ART SUBS
eu quero conversar com o CODE eleições,PRON VERB VERB PREP ART SUBS SUBS
e qual valor do carro NUMBER ?,CONJ INT SUBS PREP SUBS NUM PON
posso pagar NUMBER avista !,VERB VERB NUM VERB PON
será necessario nova proposta ?,VERB ADJ ADJ SUBS PON
"tamires , eu gostaria de tirar umas dúvidas",SUBS PON PRON VERB PREP VERB ART SUBS
a minha é a CODE,ART PRON VERB ART SUBS
"a maquina não funciona , tem algum procedimento a fazer ?",ART SUBS ADV VERB PON VERB PRON SUBS ART VERB PON
máquina e crédito e débito também,SUBS CONJ SUBS CONJ SUBS ADV
pode informar qual é o cartão ?,VERB VERB INT VERB ART SUBS PON
a ultima atendente também falo isso,ART VERB SUBS ADV VERB PRON
teria algum cupom de desconto ?,VERB PRON SUBS PREP SUBS PON
vou tentar e já ti chamo,VERB VERB CONJ ADV PRON VERB
? ? ? ? ? não é minha internet,PON PON PON PON PON ADV VERB PRON SUBS
você consegue alterar vitor ?,PRON VERB VERB SUBS PON
mas já tentei e não baixa . esse é o mais atual,CONJ ADV VERB CONJ ADV ADJ PON PRON VERB ART ADV ADJ
cadastrar cartão alelo de alimentação,VERB SUBS SUBS PREP SUBS
e qual o prazo pra assinar ?,CONJ INT ART SUBS PREP VERB PON
eu quero as duas pra NUMBER dia,PRON VERB ART NUM PREP NUM SUBS
ou é um robo ?,CONJ VERB ART SUBS PON
o dependente tem fidelidade ?,ART ADJ VERB SUBS PON
historico e o protocolo das ligações anteriores,ADJ CONJ ART SUBS PREP SUBS ADJ
esse valor de NUMBER no boleto está incluso a net tv ? ? ?,PRON SUBS PREP NUM PREP SUBS VERB ADJ ART SUBS SUBS PON PON PON
"consigo sim , um minuto",VERB INT PON ART SUBS
PHONE NUMBER NUMBER NUMBER NUMBER NUMBER NUMBER NUMBER NUMBER NUMBER,SUBS NUM NUM NUM NUM NUM NUM NUM NUM NUM
desde ontem ela não consegue,PREP ADV PRON ADV VERB
eu quero pagar sem os juros,PRON VERB VERB PREP ART SUBS
"poxa desde as NUMBER da manhã a transação em análise , não tem logica",INT PREP ART NUM PREP SUBS ART SUBS PREP SUBS PON ADV VERB ADJ
no carrinho está constando o valor de MONEY e não o de MONEY,PREP SUBS VERB VERB ART SUBS PREP SUBS CONJ ADV ART PREP SUBS
esse valor de NUMBER no momento não tenho,PRON SUBS PREP NUM PREP SUBS ADV VERB
olá estou esperando o código de rastreamento do cartão . .,INT VERB VERB ART SUBS PREP SUBS PREP SUBS PON PON
qual o motivo do bloqueio da conta ?,INT ART SUBS PREP SUBS PREP VERB PON
fico no aguardo de uma ligação,VERB PREP VERB PREP ART SUBS
é um número telefônico ?,VERB ART SUBS ADJ PON
alguém pode me ligar ? !,PRON VERB PRON VERB PON PON
"eliane . . . me desculpe , realmente não posso no débito automático",SUBS PON PON PON PRON INT PON VERB ADV VERB PREP SUBS ADJ
minha minizinha não está passando cartão .,PRON SUBS ADV VERB VERB SUBS PON
thays pereira moreira de souza,SUBS SUBS SUBS PREP SUBS
"ola , não consigo mudar meu endereço",INT PON ADV VERB VERB PRON SUBS
"não sei , pode explicar ?",ADV VERB PON VERB VERB PON
não consigo ativar minha máquina,ADV VERB VERB PRON SUBS
número da carteirinha NUMBER NUMBER PHONE,SUBS PREP SUBS NUM NUM SUBS
bom dia ouvi na rádio uma promoção do prezão de MEASURE por NUMBER valido por NUMBER dias,ADJ SUBS VERB PREP SUBS ART SUBS PREP SUBS PREP SUBS PREP NUM VERB PREP NUM SUBS
consigo fazer uma simulação pelo whatsapp ?,VERB VERB ART SUBS PREP SUBS PON
mas será a pos smart ?,CONJ VERB ART VERB SUBS PON
estou no número NUMBER mais não conhece a jessica,VERB PREP SUBS NUM ADV ADV VERB ART SUBS
"bom dia , ver andamento santander por favor NUMBER",ADJ SUBS PON VERB SUBS SUBS PREP SUBS NUM
CPF helena maria tavares cavalcante,SUBS SUBS SUBS SUBS SUBS
a transação não foi concluída,ART SUBS ADV VERB ADJ
loja física irei abrir também mas daqui NUMBER meses,SUBS ADJ VERB VERB ADV CONJ PREP NUM SUBS
recebi meu cartão e não veio a senha,VERB PRON SUBS CONJ ADV VERB ART SUBS
eu posso ir em uma agência ?,PRON VERB VERB PREP ART SUBS PON
"fiz uma proposta de financiamento , mas não tive retorno",VERB ART SUBS PREP SUBS PON CONJ ADV VERB VERB
o orçamento do sinistro do terceiro é separado do meu ? não entra junto ?,ART SUBS PREP ADJ PREP NUM VERB ADJ PREP PRON PON ADV VERB ADJ PON
já tem mais de NUMBER,ADV VERB ADV PREP NUM
acabei de encaminhar está mensagem a ele,VERB PREP VERB VERB SUBS ART PRON
"estou precisando fazer a revisão do meu carro , qual procedimento ?",VERB VERB VERB ART SUBS PREP PRON SUBS PON INT SUBS PON
alguém no atendimento hoje ?,PRON PREP SUBS ADV PON
vai chegar alguém novo na minha vida ?,VERB VERB PRON ADJ PREP PRON SUBS PON
e o nome da conta e do cartão podem ser alterados também ?,CONJ ART SUBS PREP VERB CONJ PREP SUBS VERB VERB ADJ ADV PON
não estou conseguindo visualizar o saldo do meu cartão,ADV VERB VERB VERB ART SUBS PREP PRON SUBS
ou é NUMBER sessões por cada área,CONJ VERB NUM SUBS PREP PRON SUBS
eu tenho dinheiro na minha conta,PRON VERB SUBS PREP PRON VERB
no site e mais barato,PREP SUBS CONJ ADV ADJ
NUMBER NUMBER NUMBER esse número é de vocês ?,NUM NUM NUM PRON SUBS VERB PREP PRON PON
não estou conseguindo comprar outra minizinha ?,ADV VERB VERB VERB PRON SUBS PON
quero a de NUMBER por mês,VERB ART PREP NUM PREP SUBS
meu nome está negativado . . após o pagamento desta parcela é retirado do sistema do serasa ?,PRON SUBS VERB VERB PON PON PREP ART SUBS PREP SUBS VERB SUBS PREP SUBS PREP SUBS PON
consigo sacar meu limite ?,VERB VERB PRON VERB PON
não e leila . mensagem enviada errada,ADV CONJ SUBS PON SUBS VERB ADJ
"eu mande na primeira mensagem , os códigos da cobrança",PRON VERB PREP ADJ SUBS PON ART SUBS PREP SUBS
eu fiz um no domingo as TIME de manhã,PRON VERB ART PREP SUBS ART SUBS PREP SUBS
peguei a opção de MEASURE MONEY,VERB ART SUBS PREP SUBS SUBS
agência é de numeração NUMBER apenas,SUBS VERB PREP SUBS NUM ADV
"mas não me deixe sem resposta , por favor ! ! ! ! !",CONJ ADV PRON VERB PREP SUBS PON PREP SUBS PON PON PON PON PON
esse canal de atendimento não funciona mais ?,PRON SUBS PREP SUBS ADV VERB ADV PON
"ou seja , as NUMBER linhas e internet em casa",CONJ VERB PON ART NUM SUBS CONJ SUBS PREP VERB
fidelidade de NUMBER meses ?,SUBS PREP NUM SUBS PON
devem ter deixado no computador .,VERB VERB VERB PREP SUBS PON
"NUMBER , do o NUMBER NUMBER",NUM PON PREP ART NUM NUM
parcelado não tem juros ?,ADJ ADV VERB SUBS PON
hoje eu pago NUMBER em outra operadora,ADV PRON VERB NUM PREP PRON SUBS
NUMBER fios saindo da camisa,NUM SUBS VERB PREP SUBS
não é cobrado adicional ?,ADV VERB VERB ADJ PON
e a internet banda larga também ?,CONJ ART SUBS SUBS ADJ ADV PON
porque recebi essa mensagem via sms,CONJ VERB PRON SUBS SUBS SUBS
vou passar dois tá NUMBER NUMBER,VERB VERB NUM INT NUM NUM
qual o curso mais barato ?,INT ART SUBS ADV ADJ PON
quero pagar mas dívida em NUMBER vezes de NUMBER,VERB VERB CONJ SUBS PREP NUM SUBS PREP NUM
mas não vai bloquear as linhas vai ?,CONJ ADV VERB VERB ART SUBS VERB PON
perguntei porque vou trabalhar na NUMBER também,VERB CONJ VERB VERB PREP NUM ADV
"isso , é o único , não é ?",PRON PON VERB ART ADJ PON ADV VERB PON
no site consegui um desconto maior .,PREP SUBS VERB ART SUBS ADJ PON
com . um . cartão . de . crédito,PREP PON ART PON SUBS PON PREP PON SUBS
ag NUMBER conta NUMBER itau,SUBS NUM VERB NUM SUBS
tenho NUMBER em minha conta posso usar meu cartão pra débito ?,VERB NUM PREP PRON VERB VERB VERB PRON SUBS PREP SUBS PON
já recebi um chip novo,ADV VERB ART SUBS ADJ
você não pode me mandar alguns também por whats ?,PRON ADV VERB PRON VERB PRON ADV PREP SUBS PON
nessa pagina não tem opção de NUMBER via,PREP SUBS ADV VERB SUBS PREP NUM SUBS
mas a data de pagamento é ruim pra mim,CONJ ART SUBS PREP SUBS VERB ADJ PREP PRON
queria ver outro cpf ?,VERB VERB PRON SUBS PON
e quero número de rastreamento,CONJ VERB SUBS PREP SUBS
você por gentileza poderia me encaminhar a localização da unidade de vocês ! ! !,PRON PREP SUBS VERB PRON VERB ART SUBS PREP SUBS PREP PRON PON PON PON
tem mensalidade ? pago alguma taxa ?,VERB SUBS PON VERB PRON SUBS PON
"bom dia , a portabilidade foi realizada ?",ADJ SUBS PON ART SUBS VERB ADJ PON
NUMBER gb me parece ótimo,NUM SUBS PRON VERB INT
dia NUMBER já posso de manhã apenas,SUBS NUM ADV VERB PREP SUBS ADV
realizei um pedido na loja física,VERB ART SUBS PREP SUBS ADJ
você fez ontem o calculo,PRON VERB ADV ART VERB
tem com maior velocidade ?,VERB PREP ADJ SUBS PON
francisca erica soares de sousa,SUBS SUBS SUBS PREP SUBS
tem taxas de parcelamento ?,VERB SUBS PREP SUBS PON
"alice , queria falar com vocês por telefone",SUBS PON VERB VERB PREP PRON PREP SUBS
"dúvidas , fechamento pode ser por telefone",SUBS PON SUBS VERB VERB PREP SUBS
"sim , mas eu não tive culpa",INT PON CONJ PRON ADV VERB SUBS
sobre o cartão de crédito ?,PREP ART SUBS PREP SUBS PON
e já debitou esse valor do cartão dela,CONJ ADV VERB PRON SUBS PREP SUBS PREP
esse é um número de telefone ?,PRON VERB ART SUBS PREP SUBS PON
sábado eu fiz a transferência por meu cartão de banco você não transfere ? ?,SUBS PRON VERB ART SUBS PREP PRON SUBS PREP SUBS PRON ADV VERB PON PON
ola . gostaria de fazer a quitação do meu financiamento .,INT PON VERB PREP VERB ART SUBS PREP PRON SUBS PON
não está constando as NUMBER dias,ADV VERB VERB ART NUM SUBS
teria algum com instagram também ?,VERB PRON PREP SUBS ADV PON
fiquei TIME no protocolo PHONE e não fui atendido ! existe um tempo máximo de espera ?,VERB SUBS PREP SUBS SUBS CONJ ADV VERB VERB PON VERB ART SUBS ADJ PREP VERB PON
qual é o número do contrato por favor ?,INT VERB ART SUBS PREP SUBS PREP SUBS PON
a data prevista dia DATE,ART SUBS ADJ SUBS SUBS
posso pagar NUMBER aceita a proposta ?,VERB VERB NUM VERB ART SUBS PON
qual a taxa é cobrado no crédito em duas vezes ?,INT ART SUBS VERB VERB PREP SUBS PREP NUM SUBS PON
tem de ligar em algum lugar após receber o chip ?,VERB PREP VERB PREP PRON VERB PREP VERB ART SUBS PON
"no momento apenas isso , obrigada !",PREP SUBS ADV PRON PON ADJ PON
"mas agora , quero alterar um valor ,",CONJ ADV PON VERB VERB ART SUBS PON
quantos dias libera o empréstimos,PRON SUBS VERB ART SUBS
calor fatura do mês NUMBER,SUBS SUBS PREP SUBS NUM
"essa fatura eu já paguei , eu quero a de agosto",PRON SUBS PRON ADV VERB PON PRON VERB ART PREP SUBS
"não tenho a conta , tô colocando número cliente",ADV VERB ART VERB PON VERB VERB SUBS SUBS
e cancelar máquina a qualquer momento sem . multa,CONJ VERB SUBS ART PRON SUBS PREP PON SUBS
bom dia . nenhum cartão,ADJ SUBS PON PRON SUBS
tenho internet da net residencial,VERB SUBS PREP SUBS ADJ
esse é o valor já com o desconto do voucher ?,PRON VERB ART SUBS ADV PREP ART SUBS PREP SUBS PON
nunca precisou de outro wifi,ADV VERB PREP PRON SUBS
o boleto pego direto no site ?,ART SUBS VERB ADJ PREP SUBS PON
gostaria de verificar meu saldo,VERB PREP VERB PRON SUBS
DDD PHONE e dependente DDD PHONE,SUBS SUBS CONJ ADJ SUBS SUBS
meu pedido não chegou há mais de NUMBER dias,PRON SUBS ADV VERB VERB ADV PREP NUM SUBS
porque o prazo foi dia DATE,CONJ ART SUBS VERB SUBS SUBS
eu comprei a minha maquininha na promoção de NUMBER meses sem taxa,PRON VERB ART PRON SUBS PREP SUBS PREP NUM SUBS PREP SUBS
com isso não posso realizar outra negociação ?,PREP PRON ADV VERB VERB PRON SUBS PON
"eu sou cliente tim , mas estou insatisfeito . . .",PRON VERB SUBS SUBS PON CONJ VERB ADJ PON PON PON
"tenho um dinheiro em conta , quero pagar um boleto . é possível ?",VERB ART SUBS PREP VERB PON VERB VERB ART SUBS PON VERB ADJ PON
mas minha fatura fecha dia NUMBER,CONJ PRON SUBS VERB SUBS NUM
queria fazer meu cartão mais não consigo,VERB VERB PRON SUBS ADV ADV VERB
algum deles atende hoje ?,PRON PREP VERB ADV PON
de NUMBER a NUMBER faturas no cartão ?,PREP NUM ART NUM SUBS PREP SUBS PON
email EMAIL telefone somente o NUMBER PHONE,SUBS SUBS SUBS ADV ART NUM SUBS
"tentei falar com a loja , mas não respondem",VERB VERB PREP ART SUBS PON CONJ ADV VERB
estou na agência de correios e ele não chegou .,VERB PREP SUBS PREP SUBS CONJ PRON ADV VERB PON
antonio tiago do vale vieira cpf - CPF,SUBS SUBS PREP SUBS SUBS SUBS SIMB SUBS
na sexta qual horário ? ?,PREP SUBS INT ADJ PON PON
número de contrato não tenho comigo . . .,SUBS PREP SUBS ADV VERB PRON PON PON PON
e foi debitado do cartão de crédito .,CONJ VERB VERB PREP SUBS PREP SUBS PON
"entrei pelo facebook , victoria nobre",VERB PREP SUBS PON SUBS ADJ
esse preço e fixo ou sofre mudanca ?,PRON SUBS CONJ ADJ CONJ VERB SUBS PON
comprando a máquininha no valor de MONEY,VERB ART SUBS PREP SUBS PREP SUBS
mas no cartão informa NUMBER,CONJ PREP SUBS VERB NUM
não quero falar com chat bot quero falar com uma pessoa,ADV VERB VERB PREP SUBS SUBS VERB VERB PREP ART SUBS
irei ligar e pedir pra falar diretamente com você,VERB VERB CONJ VERB PREP VERB SUBS PREP PRON
mais NUMBER não está funcionando,ADV NUM ADV VERB VERB
teria com mandar no meu email !,VERB PREP VERB PREP PRON SUBS PON
qual seria o valor do débito a vista ?,INT VERB ART SUBS PREP SUBS ART SUBS PON
eu vou ter de criar outra conta,PRON VERB VERB PREP VERB PRON VERB
as NUMBER hora am ?,ART NUM SUBS SUBS PON
o dela e NUMBER PHONE,ART PREP CONJ NUM SUBS
o do dia NUMBER já foi pago,ART PREP SUBS NUM ADV VERB VERB
"bom dia , chegou uma mensagem pra mim me oferecendo NUMBER gb",ADJ SUBS PON VERB ART SUBS PREP PRON PRON VERB NUM SUBS
é . é no cartão de crédito,VERB PON VERB PREP SUBS PREP SUBS
qual a senha de meu cartão ?,INT ART SUBS PREP PRON SUBS PON
não é o cartão . . .,ADV VERB ART SUBS PON PON PON
"exame foi cadastrada , aguarda a autorização",SUBS VERB VERB PON VERB ART SUBS
eu quero uma maquina de vocês,PRON VERB ART SUBS PREP PRON
e no dela passou normalmente,CONJ PREP PREP VERB ADV
gostaria do número de rastreamento . . . pelo site não consigo rastrear .,VERB PREP SUBS PREP SUBS PON PON PON PREP SUBS ADV VERB VERB PON
pode ser controle ou pos pago . decido após analisar custo benefício,VERB VERB SUBS CONJ VERB VERB PON VERB PREP VERB SUBS SUBS
pra pedir a máquina é grátis ?,PREP VERB ART SUBS VERB ADJ PON
por favor quero o dinheiro hoje na minha conta . porque estou realmente precisando,PREP SUBS VERB ART SUBS ADV PREP PRON VERB PON CONJ VERB VERB VERB
por favor . estou no aguardo .,PREP SUBS PON VERB PREP VERB PON
estou aguardando a resposta do relatório,VERB VERB ART SUBS PREP SUBS
NUMBER é o número do cliente,NUM VERB ART SUBS PREP SUBS
essa liberação ocorre por tempo junto a empresa ou por outro motivo ?,PRON SUBS VERB PREP SUBS ADJ ART SUBS CONJ PREP PRON SUBS PON
quero parcelar a NUMBER e a NUMBER,VERB VERB ART NUM CONJ ART NUM
vou olhar . no momento estou na estrada .,VERB VERB PON PREP SUBS VERB PREP SUBS PON
vocês pode me conseguir um emprego ?,PRON VERB PRON VERB ART SUBS PON
"não , é pra de sexta",ADV PON VERB PREP PREP SUBS
bom dia . referente ao cpf NUMBER,ADJ SUBS PON ADJ PREP SUBS NUM
vocês trabalha o com vagner ?,PRON VERB ART PREP SUBS PON
olá o e-mail e EMAIL,INT ART SUBS CONJ SUBS
da mais olhada por gentileza .,PREP ADV VERB PREP SUBS PON
desde ontem vocês estão com péssimo atendimento .,PREP ADV PRON VERB PREP ADJ SUBS PON
um adulto e um jovem de NUMBER,ART ADJ CONJ ART ADJ PREP NUM
consegue verificar o número lógico,VERB VERB ART SUBS ADJ
já cancelaram minha conta ? ?,ADV VERB PRON VERB PON PON
gostaria do número pra falar com um vendedor,VERB PREP SUBS PREP VERB PREP ART ADJ
NUMBER foi algo rápido e prático,NUM VERB PRON ADJ CONJ ADJ
"não estou conseguindo me cadastrar no site , está com algum problema o site ?",ADV VERB VERB PRON VERB PREP SUBS PON VERB PREP PRON SUBS ART SUBS PON
troquei meu cartão e não aparece os créditos,VERB PRON SUBS CONJ ADV VERB ART SUBS
CPF santander NUMBER CPF pan e bmg CPF bmg,SUBS SUBS NUM SUBS SUBS CONJ SUBS SUBS SUBS
tipo a do próximo mês,SUBS ART PREP ADJ SUBS
e está pedindo número do meu cartão de crédito,CONJ VERB VERB SUBS PREP PRON SUBS PREP SUBS
NUMBER gigas minha NUMBER gigas NUMBER,NUM SUBS PRON NUM SUBS NUM
mas em outro login NUMBER,CONJ PREP PRON SUBS NUM
NUMBER pagas eu faria pelo itau,NUM VERB PRON VERB PREP SUBS
meu pedido não foi entregue PHONE,PRON SUBS ADV VERB VERB SUBS
a possibilidade de pagar as ultimas NUMBER parcelas do financiamento,ART SUBS PREP VERB ART SUBS NUM SUBS PREP SUBS
e eu consigo acompanhar algo pelo site ?,CONJ PRON VERB VERB PRON PREP SUBS PON
tem valor pra faturamento ?,VERB SUBS PREP SUBS PON
parei com NUMBER meses . já faz NUMBER meses,VERB PREP NUM SUBS PON ADV VERB NUM SUBS
santa rita de cassia NUMBER,ADJ SUBS PREP SUBS NUM
sou rosani coelho - cpf CPF,VERB SUBS SUBS SIMB SUBS SUBS
NUMBER adriano lobato torres DATE andrea regina sampaio lobato NUMBER EMAIL,NUM SUBS SUBS SUBS SUBS SUBS SUBS SUBS SUBS NUM SUBS
não está dando pra escrever .,ADV VERB VERB PREP VERB PON
vou receber cartão físico de crédito,VERB VERB SUBS ADJ PREP SUBS
NUMBER cpf NUMBER PHONE horário indiferente,NUM SUBS NUM SUBS ADJ ADJ
e já irei pagar a NUMBER parcela,CONJ ADV VERB VERB ART NUM SUBS
"não estou conseguindo o boleto , pois está em débito em conta",ADV VERB VERB ART SUBS PON CONJ VERB PREP SUBS PREP VERB
retirada NUMBER de dezembro devolução NUMBER dezembro,VERB NUM PREP SUBS SUBS NUM SUBS
qual valor da minha próxima fatura ?,INT SUBS PREP PRON ADJ SUBS PON
pedido PHONE chegou com NUMBER livros faltando,SUBS SUBS VERB PREP NUM SUBS VERB
"vou pagar o valor das multas , e não juros",VERB VERB ART SUBS PREP SUBS PON CONJ ADV SUBS
poderá ser utilizado após dia NUMBER ?,VERB VERB VERB PREP SUBS NUM PON
mas o cancelamento foi ai com vocês,CONJ ART SUBS VERB INT PREP PRON
e atrás da caixa tem um contigo NUMBER,CONJ ADV PREP SUBS VERB ART PRON NUM
"o la , arine . bom dia !",ART SUBS PON SUBS PON ADJ SUBS PON
pode responder ai ? ? ? ? ?,VERB VERB INT PON PON PON PON PON
foi hoje DATE as TIME,VERB ADV SUBS ART SUBS
robson lopes ferreira NUMBER moto honda,SUBS SUBS SUBS NUM SUBS SUBS
e o sofá tem NUMBER almofadas soltas também,CONJ ART SUBS VERB NUM SUBS ADJ ADV
e no de MEASURE ?,CONJ PREP PREP SUBS PON
vou fazer . meu pedido lá na loja,VERB VERB PON PRON SUBS ADV PREP SUBS
essa safrapay com bobina 3g wifi não aceita alelo ?,PRON SUBS PREP SUBS SUBS SUBS ADV VERB SUBS PON
quero parcelamento em NUMBER parcelas,VERB SUBS PREP NUM SUBS
com o cpf e o número do telefone eu consigo paga na loterica,PREP ART SUBS CONJ ART SUBS PREP SUBS PRON VERB VERB PREP SUBS
gostaria de pagar com desconto oferecendo uma proposta,VERB PREP VERB PREP SUBS VERB ART SUBS
ele vai está aguardando . .,PRON VERB VERB VERB PON PON
gostaria de renovar meu prezão,VERB PREP VERB PRON SUBS
esses MEASURE tem franquia de uso ?,PRON SUBS VERB SUBS PREP VERB PON
o telefone principal sabe ?,ART SUBS ADJ VERB PON
gostaria de trocar o aparelho .,VERB PREP VERB ART SUBS PON
não gera a etiqueta !,ADV VERB ART SUBS PON
"mandei um e-mail , porém ela não responde .",VERB ART SUBS PON CONJ PRON ADV VERB PON
vou fazer no laboratório a saúde,VERB VERB PREP SUBS ART SUBS
olá estou tentando contato com as lojas físicas mais sem sucesso,INT VERB VERB SUBS PREP ART SUBS ADJ ADV PREP SUBS
eu paguei MEASURE a conta do telefone,PRON VERB SUBS ART VERB PREP SUBS
"ligações , mas às vezes estou na rua e não tenho internet .",SUBS PON CONJ PREP SUBS VERB PREP INT CONJ ADV VERB SUBS PON
perto de pinheiros qual a mais proxima ?,ADV PREP SUBS INT ART ADV ADJ PON
mas o valor não é NUMBER ? e NUMBER,CONJ ART SUBS ADV VERB NUM PON CONJ NUM
wanderlei roberto pereira da costa,SUBS SUBS SUBS PREP SUBS
ativei o prezão de NUMBER,VERB ART SUBS PREP NUM
eu estou com dias máquinas quebradas e queria trocar,PRON VERB PREP SUBS SUBS ADJ CONJ VERB VERB
NUMBER NUMBER NUMBER NUMBER e NUMBER NUMBER NUMBER NUMBER,NUM NUM NUM NUM CONJ NUM NUM NUM NUM
é assunto do e-mail ?,VERB SUBS PREP SUBS PON
sim seria um pacote de NUMBER linhas,INT VERB ART SUBS PREP NUM SUBS
"não recebi , foi devolvido",ADV VERB PON VERB VERB
o boleto é a vista ou parcelado ?,ART SUBS VERB ART SUBS CONJ ADJ PON
DATE EMAIL NUMBER NUMBER PHONE,SUBS SUBS NUM NUM SUBS
pagseguro tem alguma linha de credito ?,SUBS VERB PRON SUBS PREP SUBS PON
consultar disponibilidade tv internet cep PHONE,VERB SUBS SUBS SUBS SUBS SUBS
no cartão de crédito esse debito ?,PREP SUBS PREP SUBS PRON VERB PON
não poderia ser dia NUMBER,ADV VERB VERB SUBS NUM
já passou NUMBER dia e o cartão não chegou,ADV VERB NUM SUBS CONJ ART SUBS ADV VERB
há NUMBER emails possíveis apenas .,VERB NUM SUBS ADJ ADV PON
você pode me passar o código ou não ?,PRON VERB PRON VERB ART SUBS CONJ ADV PON
por favor mandar um número,PREP SUBS VERB ART SUBS
qual o valor de uma carro popular ? tipo qual valor de um carro durante NUMBER hrs,INT ART SUBS PREP ART SUBS ADJ PON SUBS INT SUBS PREP ART SUBS PREP NUM SUBS
meu saldo está bloqueado . . . .,PRON SUBS VERB SUBS PON PON PON PON
o cartão visa é crédito parcelado ?,ART SUBS SUBS VERB SUBS ADJ PON
qual meu bilhete de portabilidade ?,INT PRON SUBS PREP SUBS PON
"entendi , qual valor no boleto ?",VERB PON INT SUBS PREP SUBS PON
gostaria de ver as promoções de telefone,VERB PREP VERB ART SUBS PREP SUBS
melo claudia EMAIL . com .,SUBS SUBS SUBS PON PREP PON
bom dia . devolução de produto,ADJ SUBS PON SUBS PREP SUBS
pode me passar o valor do saldo do meu cartão pra hoje ?,VERB PRON VERB ART SUBS PREP SUBS PREP PRON SUBS PREP ADV PON
"isabela , fiz um pleno com vocês a um mês ! deveria de ganhar desconto por ser débito em conta e isso não aconteceu .",SUBS PON VERB ART ADJ PREP PRON ART ART SUBS PON VERB PREP VERB SUBS PREP VERB SUBS PREP VERB CONJ PRON ADV VERB PON
não aparece tela pra eu indicar,ADV VERB SUBS PREP PRON VERB
me ligaram falando de um de NUMBER,PRON VERB VERB PREP ART PREP NUM
não estou conseguindo pegar outra via do boleto,ADV VERB VERB VERB PRON SUBS PREP SUBS
tenho um cartão final NUMBER,VERB ART SUBS ADJ NUM
ficou apenas NUMBER do cartão,VERB ADV NUM PREP SUBS
"você pode encaminhar , por favor ?",PRON VERB VERB PON PREP SUBS PON
quantos dias eu recebo o cartão de crédito grátis,PRON SUBS PRON VERB ART SUBS PREP SUBS ADJ
eu comprei dois pacotes e quero cancelar um de NUMBER mega e deixar o outro de NUMBER NUMBER de internet controle família,PRON VERB NUM SUBS CONJ VERB VERB ART PREP NUM SUBS CONJ VERB ART PRON PREP NUM NUM PREP SUBS SUBS SUBS
sim mas não recebi . mes de março,INT CONJ ADV VERB PON SUBS PREP SUBS
"fernanda , me ajude por favor",SUBS PON PRON VERB PREP SUBS
mandando ele falar com a atendente ?,VERB PRON VERB PREP ART SUBS PON
eu quero paga mais da difícil já o número do meu cpf,PRON VERB VERB ADV PREP ADJ ADV ART SUBS PREP PRON SUBS
"estou a mais de TIME tentando atendimento por telefone , mas é impossivel",VERB ART ADV PREP SUBS VERB SUBS PREP SUBS PON CONJ VERB ADJ
"já tentei , mas não é permitido",ADV VERB PON CONJ ADV VERB VERB
sim . envie no EMAIL,INT PON VERB PREP SUBS
olá bom dia eu estou digitado o código enviado na minha máquina e não está aceitando,INT ADJ SUBS PRON VERB VERB ART SUBS VERB PREP PRON SUBS CONJ ADV VERB VERB
bom dia ! por gentileza me envia contrato saque cartão pan,ADJ SUBS PON PREP SUBS PRON VERB SUBS SUBS SUBS SUBS
